Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF","C_0805_2012Metric",112.776000,-44.117500,270.000000,top
"C2","10uF","CP_EIA-3216-18_Kemet-A",110.110500,-63.246000,180.000000,top
"C3","C","C_0805_2012Metric",95.758000,-48.006000,270.000000,top
"C4","C","C_0805_2012Metric",109.982000,-65.786000,0.000000,top
"C5","100nF","C_0805_2012Metric",101.424500,-46.990000,0.000000,top
"C6","100nF","C_0805_2012Metric",110.236000,-59.611500,270.000000,top
"C7","100nF","C_0805_2012Metric",109.728000,-48.006000,90.000000,top
"C8","100nF","C_0805_2012Metric",95.758000,-55.880000,90.000000,top
"C9","100nF","C_0805_2012Metric",95.758000,-51.562000,90.000000,top
"C10","1uF","C_0805_2012Metric",108.204000,-44.117500,90.000000,top
"C11","1uF","C_0805_2012Metric",110.490000,-44.274500,270.000000,top
"C12","100nF","C_0805_2012Metric",91.948000,-45.720000,180.000000,top
"C13","4.7uF","C_0805_2012Metric",91.948000,-48.260000,180.000000,top
"C14","1uF","C_0805_2012Metric",105.918000,-44.196000,270.000000,top
"C15","1uF","C_0805_2012Metric",95.250000,-44.117500,270.000000,top
"C16","1uF","C_0805_2012Metric",97.282000,-44.117500,270.000000,top
"C17","1uF","C_0805_2012Metric",99.314000,-44.196000,270.000000,top
"C18","1uF","C_0805_2012Metric",101.346000,-44.274500,270.000000,top
"C19","1uF","C_0805_2012Metric",103.378000,-44.196000,270.000000,top
"INPUT CONN","CN101","Molex_200528-0080_1x08-1MP_P1.00mm_Horizontal",104.902000,-69.596000,0.000000,top
"J2","BACKLIGHT_CONN","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",81.788000,-42.926000,180.000000,top
"LCD CONN","Conn_01x30","Hirose_FH12-30S-0.5SH_1x30-1MP_P0.50mm_Horizontal",104.902000,-37.338000,180.000000,top
"Q1","Q_NMOS_GSD","SOT-23",77.978000,-51.562000,90.000000,top
"R1","10K","R_0805_2012Metric",105.664000,-47.244000,180.000000,top
"R2","500R","R_0805_2012Metric",77.978000,-55.372000,0.000000,top
"R3","10K","R_0805_2012Metric",99.314000,-60.706000,270.000000,top
"R4","200K","R_0805_2012Metric",77.978000,-58.420000,0.000000,top
"U1","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",104.648000,-53.594000,-90.000000,top
